6,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAV25,DAX69,DAS44,DAY57,DAZ05,DAX45,DAY97,DAZ87,DAZ78,DAY60,DAZ93,DAY39,DAZ77,DBB94,DAY83,DBA90,DBA89,DZE67,DAY47,DBC10,DBB56,DBB71,DBA57,DBB55,DBA39,DBB72,DBB91,DBB46,DBC47,DBC19,DBB32,DBB30,DBB36,DBB27,DBB47,DBB34,DBB33,DBC24,DBC28,DBC40,DBC29,DBC41
