DAB03,DBB46,DBC47,DZI72,DBC68,DBC67, DAB01,DAB02,DBB28,DBB27,DBC25,DBC23,DBC34,DBC38,DBC31,DBB29,DBB45,DBC27,DAV25,DAX69,DAS44,DAY57,DAZ05,DAY97,DAX45,DAZ78,DAY60,DAZ93,DAY39,DBB94,DAZ87,DAY83,DBA90,DBA89,DZE67,DAY47,DBB56,DBA57,DBB55,DBA39,DBB72,DBB91
7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,1,1,2,2,2,2,1,4,4,4,4,4,1,5,5,5,4,5,6,6,6,6,5,6
D,D,,A,D,C,A,C,A,C,C,D,A,D,D,D,D,A,E,E,E,E,E,E,E,E,E,E,E,E,E,"E,B,I","B,I,E","B,I,E",C,,I,,"D,C,B",I,,
